kelime;anlam;lowercase;tokens;lemmas;stemmed
Bişme;Güveç;güveç;güveç;güveç;güveç
Bişşek;Yayıkdaki ayranı karıştırmaya yarayan çubuk.;karıştırmaya yarayan ayranı yayıkdaki çubuk;ayranı karıştırmaya yarayan yayıkdaki çubuk;ayranı karıştırmaya yarayan yayıkdaki çubuk;ayran karıştırma yarayan yayık çubuk
Biyaktan;Az önce;az önce;önce;önce;önç
Bocit;Sürahi.;sürahi;sürahi;sürahi;sürahi
Boduk;Camuz yavrusu;yavrusu camuz;camuz yavrusu;camuz yavrusu;camuz yavru
Boğasak;Çiftleşme zamanı gelmiş dişi inek.;gelmiş dişi inek zamanı çiftleşme;dişi gelmiş inek zamanı çiftleşme;dişi gelmiş inek zamanı çiftleşme;diş gel inek zaman çiftleş
Bohça;İçinde giyecek vs. dolu kalın bez.;giyecek vs dolu i̇çinde kalın bez;bez dolu giyecek i̇çinde kalın vs;bez dolu giyecek i̇çinde kalın v;bez dol giyecek i̇çinde kal v
Bor;Ekin tarlaları arasında ekilip sürülmemiş   otu   bol olan yer;ekin arasında ekilip olan bol sürülmemiş yer tarlaları otu;arasında bol ekilip ekin olan otu sürülmemiş tarlaları yer;arasında bol ekilip ekin olan otu sürülmemiş tarlaları yer;ara bol ek ekilip olan ot sürül tarla yer
Bostan;Bağ, bahçe.;bahçe bağ;bahçe bağ;bahçe bağ;bahçe bağ
Bostan;Salatalık;salatalık;salatalık;salatalık;salatalık
Boz;Kül rengi.;kül rengi;kül rengi;kül rengi;kül reng
Börk;Takke;takke;takke;takke;takke
Börkenek;Kapşon;kapşon;kapşon;kapşon;kapşon
Bukağı;Hayvanların hızlı koşmasını önlemek için iki ayağını birbirine bağlayan ip veya;veya iki ip önlemek hayvanların koşmasını için bağlayan birbirine ayağını hızlı;ayağını bağlayan birbirine hayvanların hızlı iki ip koşmasını önlemek;ayağını bağlayan birbirine hayvanların hızlı iki ip koşmasını önlemek;ayak bağlayan birbir hayvan hızl ik ip koşma önlemek
Buncaaz;Bu kadar, Bu kadarcık.;bu kadar kadarcık;kadar kadarcık;kadar kadarcık;kadar kadarcık
Buncalı;Bu sefer;bu sefer;sefer;sefer;sefer
Bunmuak;Bunalmak.;bunalmak;bunalmak;bunalmak;bunalmak
Burgu;Ucu kıvrık ve keskin bıçak.;ucu ve bıçak keskin kıvrık;bıçak keskin kıvrık ucu;bıçak keskin kıvrık ucu;bıçak kesk kıvrık uç
Buzağı;İnek yavrusu;i̇nek yavrusu;i̇nek yavrusu;i̇nek yavrusu;i̇nek yavru
Buzalamak;İneğin yavrulaması.;yavrulaması i̇neğin;i̇neğin yavrulaması;i̇neğin yavrulaması;i̇neğin yavrulama
Bülük;Erkek çocuk pipisi;çocuk pipisi erkek;erkek pipisi çocuk;erkek pipisi çocuk;erkek pipi çocuk
Bük;İçine girilemeyen çalılık;çalılık girilemeyen i̇çine;girilemeyen i̇çine çalılık;girilemeyen i̇çine çalılık;girilemeyen i̇çine çalılık
Büvelek;Bir çeşit örümcek türü,hayvanlara iğne atar;iğne türü hayvanlara örümcek çeşit atar bir;atar bir hayvanlara iğne türü çeşit örümcek;atar bir hayvanlara iğne türü çeşit örümcek;atar bir hayvan iğn tür çeşit örümcek
Büvet;Su göleti;göleti su;göleti su;göleti su;göle su
Caalak;Çağlayan;çağlayan;çağlayan;çağlayan;çağlayan
Cağlak;Akarsuyun ani eğim nedeniyle hızlı aktığı yer. Şelale kadar dik değil.;dik akarsuyun nedeniyle ani aktığı değil şelale kadar hızlı eğim yer;akarsuyun aktığı ani değil dik eğim hızlı kadar nedeniyle yer şelale;akarsuyun aktığı ani değil dik eğim hızlı kadar nedeniyle yer şelale;akarsuy aktık ani değil dik ek hızl kadar neden yer şelale
Calap;Sulu kar;sulu kar;kar sulu;kar sulu;kar su
Callak;Olgunlaşmamış karpuz, kavun.;olgunlaşmamış kavun karpuz;karpuz kavun olgunlaşmamış;karpuz kavun olgunlaşmamış;karpuz kavu olgunlaş
Cangama;Laf kalabalığı;laf kalabalığı;kalabalığı laf;kalabalığı laf;kalabalık laf
Cardın;Büyük fare.;fare büyük;büyük fare;büyük fare;büyük fare
Carsa;Bir kumaş türü;bir kumaş türü;bir kumaş türü;bir kumaş türü;bir kumaş tür
Cascavlak;Üzerinde hiç birşey olmayan,  kel.;birşey hiç kel olmayan üzerinde;kel olmayan üzerinde;kel olmayan üzerinde;kel olmayan üzer
Cavlak;Soyulmuş, kel;kel soyulmuş;kel soyulmuş;kel soyulmuş;kel soyul
Caygara;Pınar, kaynak.;pınar kaynak;kaynak pınar;kaynak pınar;kaynak pınar
Cebelleşmek;İnatlaşmak.;i̇natlaşmak;i̇natlaşmak;i̇natlaşmak;i̇natlaşmak
Cec;Samanından ayrılmış fakat elenmemiş tahıl yığını.;elenmemiş samanından fakat yığını tahıl ayrılmış;ayrılmış elenmemiş fakat samanından tahıl yığını;ayrılmış elenmemiş fakat samanından tahıl yığını;ayrıl elen fakat saman tahıl yık
Cecit;Yepyeni, pırıl pırıl;pırıl yepyeni;pırıl yepyeni;pırıl yepyeni;pırıl yepyen
Ceflin;Açılmamış tavuk;açılmamış tavuk;açılmamış tavuk;açılmamış tavuk;açıl tavuk
Cehez;Çeyiz;çeyiz;çeyiz;çeyiz;çe
Cıba;Domuz yavrusu;domuz yavrusu;domuz yavrusu;domuz yavrusu;dom yavru
Cıbıdığı çıkmak;Çok ıslanmak;ıslanmak çok;ıslanmak;ıslanmak;ıslanmak
Cıdır;Böğürtlen çalılığı;böğürtlen çalılığı;böğürtlen çalılığı;böğürtlen çalılığı;böğürtlen çalılık
Cıkıl;Madeni para;para madeni;madeni para;madeni para;maden par
Cıkla;Tamamen;tamamen;tamamen;tamamen;tamamen
Cılk;Bozulmuş yumurta;yumurta bozulmuş;bozulmuş yumurta;bozulmuş yumurta;bozul yumur
Cıllcı;Kavgacı, oyun bozan;bozan oyun kavgacı;bozan kavgacı oyun;bozan kavgacı oyun;bozan kavgaç oyun
Cıllımak;Oyun bozmak.;oyun bozmak;bozmak oyun;bozmak oyun;bozmak oyun
Cır;Aman dil eme k.;eme dil k aman;aman dil eme k;aman dil eme k;aman dil em k
Cırlavuk;Ağustos böceği;ağustos böceği;ağustos böceği;ağustos böceği;ağustos böcek
Cırrık;Bir çeşit kuş türü;bir kuş türü çeşit;bir kuş türü çeşit;bir kuş türü çeşit;bir kuş tür çeşit
Cırtatan;Tohumlu bir çeşit bitki;tohumlu bir bitki çeşit;bir bitki tohumlu çeşit;bir bitki tohumlu çeşit;bir bitki tohum çeşit
Cırtbağ;Bir çeşit serçe;bir çeşit serçe;bir serçe çeşit;bir serçe çeşit;bir serç çeşit
Cırtık;Tırnak izi;tırnak izi;izi tırnak;izi tırnak;iz tırnak
Cıvık;Sıvı, katı olmayan;katı sıvı olmayan;katı olmayan sıvı;katı olmayan sıvı;katı olmayan sıv
Cızzan;Tahtaravelli;tahtaravelli;tahtaravelli;tahtaravelli;tahtaravel
Cızzık;Çizgi;çizgi;çizgi;çizgi;çizg
Cibiliyetsiz;Geveze, yaramaz, iyilik bilmez;yaramaz bilmez iyilik geveze;bilmez geveze iyilik yaramaz;bilmez geveze iyilik yaramaz;bilmez gevez iyilik yaramaz
Cilbirti;Maki bitkisi çeşidi;bitkisi maki çeşidi;bitkisi maki çeşidi;bitkisi maki çeşidi;bitki maki çeşi
Cilkes;Tamamen;tamamen;tamamen;tamamen;tamamen
Citil;Küçük helkecik;küçük helkecik;helkecik küçük;helkecik küçük;helkecik küçük
Coruk;İşe yaramaz;i̇şe yaramaz;i̇şe yaramaz;i̇şe yaramaz;i̇şe yaramaz
Cukkuşu;Baykuş;baykuş;baykuş;baykuş;baykuş
Culluk;Hindi;hindi;hindi;hindi;hint
Cura;Kısa  boylu;kısa boylu;boylu kısa;boylu kısa;boyl kıs
Cuvara;Sigara;sigara;sigara;sigara;sigar
Cücük;Civciv;civciv;civciv;civciv;civciv
Cüllüp;Hartlap ağacının meyvesi.;meyvesi hartlap ağacının;ağacının hartlap meyvesi;ağacının hartlap meyvesi;ağaç hartlap meyve
Cüvab;Cevap;cevap;cevap;cevap;cevap
Çağıl;Genellikle tarlaları temizlemek için toplanan taş yığını.;temizlemek genellikle için yığını taş toplanan tarlaları;genellikle tarlaları taş temizlemek toplanan yığını;genellikle tarlaları taş temizlemek toplanan yığını;genellik tarla taş temizlemek toplanan yık
Çaman;Közde pişmiş et;et pişmiş közde;et közde pişmiş;et közde pişmiş;et köz piş
Çanak;Yolların çakıştığı yer.;çakıştığı yolların yer;yer yolların çakıştığı;yer yolların çakıştığı;yer yol çakıştık
Çandır;Melez;melez;melez;melez;melez
Çarpana;Kuş avlamak için kullanılan lastiklerde,içine taş konulan deri bölüm.;konulan bölüm lastiklerde içine deri avlamak için kullanılan kuş taş;avlamak bölüm deri içine konulan kullanılan kuş lastiklerde taş;avlamak bölüm deri içine konulan kullanılan kuş lastiklerde taş;avlamak böl der iç konulan kullanılan kuş lastik taş
Çatalavrat;Bir böcek türü;böcek bir türü;bir böcek türü;bir böcek türü;bir böcek tür
Çebiç;Oğlağın büyüğü;oğlağın büyüğü;büyüğü oğlağın;büyüğü oğlağın;büyük oğlak
Çebiş;Teke;teke;teke;teke;tek
Çekke;Çekirge;çekirge;çekirge;çekirge;çekirg
Çelik;Ölçek;ölçek;ölçek;ölçek;ölçek
Çellik;Tahtadan yapılmış 15-20 kg. Buğday alabilen tahıl ölçeği.;kg ölçeği yapılmış buğday tahtadan tahıl alabilen;alabilen buğday kg tahtadan tahıl yapılmış ölçeği;alabilen buğday kg tahtadan tahıl yapılmış ölçeği;alabilen buğday kg tahta tahıl yapıl ölçek
Çeltik;Pirincin tarladaki hali;hali pirincin tarladaki;hali pirincin tarladaki;hali pirincin tarladaki;hali pirinç tarla
Çen;Cevizin yarısı.;yarısı cevizin;cevizin yarısı;cevizin yarısı;ceviz yarı
Çepel;Bulaşık;bulaşık;bulaşık;bulaşık;bulaşık
Çeten;Traktörde römorkun üzerine tahtalarla ilave yapılmış şekli(Bir çeten saman;şekli bir ilave üzerine çeten yapılmış saman traktörde römorkun tahtalarla;bir ilave römorkun saman tahtalarla traktörde yapılmış çeten üzerine şekli;bir ilave römorkun saman tahtalarla traktörde yapılmış çeten üzerine şekli;bir ilave römork saman tahta traktör yapıl çe üzer şekl
Çetil;Fidan;fidan;fidan;fidan;fidan
Çevlik;Akarsu yatağında bazı büyük virajlar nedeniyle suyun bir süre ters akıp tekrar;bazı tekrar nedeniyle büyük ters virajlar bir akıp yatağında suyun akarsu süre;akarsu akıp bir büyük nedeniyle suyun süre tekrar ters virajlar yatağında;akarsu akıp bir büyük nedeniyle suyun süre tekrar ters virajlar yatağında;akarsu akıp bir büyük neden suy sür tekrar ters viraj yatak
Çılbır;Yumurtayla yapılan bir yemek türü.;yumurtayla türü yapılan bir yemek;bir türü yapılan yemek yumurtayla;bir türü yapılan yemek yumurtayla;bir tür yapılan yemek yumurta
Çınkı;Tutam;tutam;tutam;tutam;tuta
Çıtımık;Menengiç.Bir bitki;menengiç bir bitki;bir bitki menengiç;bir bitki menengiç;bir bitki menengiç
Çıtırık;Kırılması zor olan(Bu ceviz çok çıtırık);olan bu zor kırılması çok çıtırık ceviz;ceviz kırılması olan zor çıtırık;ceviz kırılması olan zor çıtırık;cev kırılma olan zor çıtırık
Çiğit;Pamuk tohumu;pamuk tohumu;pamuk tohumu;pamuk tohumu;pamuk toh
Çimmek;Yıkanmak;yıkanmak;yıkanmak;yıkanmak;yıkanmak
Çinçik;Serçe;serçe;serçe;serçe;serç
Çinke;Küçük parça;parça küçük;küçük parça;küçük parça;küçük parça
Çirpeden;Bir anda;bir anda;anda bir;anda bir;an bir
Bocit;Sürahi;sürahi;sürahi;sürahi;sürahi
Çitil;İçi kalaylı küçük bakır bakraç, 1 litre su alır.;kalaylı küçük i̇çi su litre bakır alır bakraç;alır bakraç bakır i̇çi kalaylı küçük litre su;alır bakraç bakır i̇çi kalaylı küçük litre su;alır bakraç bakır i̇çi kalay küçük litre su
Çitlik;Tarla ve bahçelerin kenarındaki çitleri örmek için kullanılan çalılar.;bahçelerin kenarındaki ve çalılar çitleri tarla örmek için kullanılan;bahçelerin kenarındaki kullanılan tarla çalılar çitleri örmek;bahçelerin kenarındaki kullanılan tarla çalılar çitleri örmek;bahçe kenar kullanılan tarla çalı çit örmek
Çont;Taşlarla oynanan bir oyun;taşlarla oynanan bir oyun;bir oynanan oyun taşlarla;bir oynanan oyun taşlarla;bir oynanan oyun taş
Çotul;Ağacın kollarının ilk ayrıldığı yer.;ağacın kollarının ilk ayrıldığı yer;ayrıldığı ağacın ilk kollarının yer;ayrıldığı ağacın ilk kollarının yer;ayrıldık ağaç ilk kol yer
Çömçe;Büyük tahta kaşık. Yannıktan iki çömçe ayran al.;çömçe al kaşık iki ayran tahta yannıktan büyük;al ayran büyük iki kaşık tahta yannıktan çömçe;al ayran büyük iki kaşık tahta yannıktan çömçe;al ayran büyük ik kaşık tah yannık çömç
Çul;Keçi kılından dokunan ve yaygı olarak kullanılan düz ve desensiz dokuma.;ve yaygı desensiz kılından keçi kullanılan olarak dokuma dokunan düz;desensiz dokuma dokunan düz keçi kullanılan kılından olarak yaygı;desensiz dokuma dokunan düz keçi kullanılan kılından olarak yaygı;desens dok dokunan düz keç kullanılan kıl olarak yayg
Çüven;Davulun tokmağı;tokmağı davulun;davulun tokmağı;davulun tokmağı;davul tokmak
Dağdağan;Tohumlu bir ağaç;tohumlu bir ağaç;ağaç bir tohumlu;ağaç bir tohumlu;ağaç bir tohum
Dalaykırı;Yukarı doğru.;doğru yukarı;doğru yukarı;doğru yukarı;doğr yukar
Dalgeçir;Cepken;cepken;cepken;cepken;cep
Dam;Ev.;ev;ev;ev;ev
Damızlık;Tohumluk;tohumluk;tohumluk;tohumluk;tohumluk
Dandik;Dolma tüfeğin kötüsü.;dolma kötüsü tüfeğin;dolma kötüsü tüfeğin;dolma kötüsü tüfeğin;dolm kötü tüfek
Dantil;Dantel;dantel;dantel;dantel;dantel
Darbız;Tarlanın nemini alması;tarlanın alması nemini;alması nemini tarlanın;alması nemini tarlanın;alma nem tarla
Davış;Küçük bir hareket, kıpırtı.;hareket bir küçük kıpırtı;bir hareket küçük kıpırtı;bir hareket küçük kıpırtı;bir hareket küçük kıpır
Dayak durmak;Payandalık yapmak. Dayak durda şu unlukları beygire yükleyelim.;yükleyelim şu unlukları durda dayak payandalık yapmak beygire;beygire dayak durda payandalık unlukları yapmak yükleyelim;beygire dayak durda payandalık unlukları yapmak yükleyelim;beygir dayak dur payandalık unluk yapmak yükleyel
Dayramak;Eskimek;eskimek;eskimek;eskimek;eskimek
Debiyak;Az önce.;önce az;önce;önce;önç
De hele;Başla bakayım.;bakayım başla;bakayım başla;bakayım başla;baka başl
Değilcikden;Mahsustan.;mahsustan;mahsustan;mahsustan;mahsus
Değne;Bak.;bak;bak;bak;bak
Dellenme;Delilenme;delilenme;delilenme;delilenme;delilen
Demlik;Sürekli, dönmemek üzere;sürekli üzere dönmemek;dönmemek sürekli üzere;dönmemek sürekli üzere;dönmemek sürek üzer
Depik;Tekme;tekme;tekme;tekme;tekm
Depki;Tarhana aşı karıştırmaya yarayan aygıt;aşı tarhana karıştırmaya yarayan aygıt;aygıt aşı karıştırmaya tarhana yarayan;aygıt aşı karıştırmaya tarhana yarayan;aygıt aş karıştırma tarhan yarayan
Deşirmek;Toplamak.;toplamak;toplamak;toplamak;toplamak
Devlisigün;Bir sonraki gün.;gün bir sonraki;bir gün sonraki;bir gün sonraki;bir gün sonraki
Devrede;Devirde;devirde;devirde;devirde;devir
Devrikisinde;Ötekisinde;ötekisinde;ötekisinde;ötekisinde;öteki
Dezze;Teyze;teyze;teyze;teyze;teyz
Dıkıl;Gir.;gir;gir;gir;gir
Dıkılmak;Girmek;girmek;girmek;girmek;girmek
Dıkız;Fazla,taşkın;fazla taşkın;fazla taşkın;fazla taşkın;fazl taşk
Dırgıl dırgıl;Yarık yarık;yarık yarık;yarık;yarık;yarık
Dibek;Büyük taş;büyük taş;büyük taş;büyük taş;büyük taş
Digrak;Sıkı;sıkı;sıkı;sıkı;sık
Dikeç;Çitler için kullanılan ağaç kazıklar. Bahçenin ağılı için bir yük dikeç gerek.;bahçenin yük için kullanılan dikeç ağaç kazıklar gerek bir çitler ağılı;ağaç ağılı bahçenin bir dikeç gerek kazıklar kullanılan yük çitler;ağaç ağılı bahçenin bir dikeç gerek kazıklar kullanılan yük çitler;ağaç ağıl bahçe bir dikeç gerek kazık kullanılan yük çit
Dil;Anahtar;anahtar;anahtar;anahtar;anahtar
Dilbaz;Güzel konuşan.;güzel konuşan;güzel konuşan;güzel konuşan;güzel konuşan
Dillemek;Kilitlemek;kilitlemek;kilitlemek;kilitlemek;kilitlemek
Dinei;Dur.;dur;dur;dur;dur
Diniyele;Dinle hele;dinle hele;dinle hele;dinle hele;dinl hel
Dipili düşmek;Aniden ortaya çıkmak.;ortaya aniden çıkmak;aniden ortaya çıkmak;aniden ortaya çıkmak;ani orta çıkmak
Dirgen;Ekin sapını patosa atmaya yarayan alet;ekin sapını alet yarayan atmaya patosa;alet atmaya ekin patosa sapını yarayan;alet atmaya ekin patosa sapını yarayan;alet atma ek pato sap yarayan
Dirizelinç Etmek;Can Çekiştirmek;can çekiştirmek;çekiştirmek;çekiştirmek;çekiştirmek
Dombalak;Takla.;takla;takla;takla;takl
Donuktu;Durdu.;durdu;durdu;durdu;durt
Dombalak;Takla;takla;takla;takla;takl
Don kazanı;Büyük bakır kazan;kazan büyük bakır;bakır büyük kazan;bakır büyük kazan;bakır büyük kazan
Don yumak;Çamaşır yıkamak. Deri(Perşembe) günü anam don yuyacak.;don anam deri perşembe yıkamak çamaşır günü yuyacak;anam deri günü perşembe yuyacak yıkamak çamaşır;anam deri günü perşembe yuyacak yıkamak çamaşır;ana der gün perşemp yuyacak yıkamak çamaşır
Don;Külot;külot;külot;külot;külot
Döğme;Pilav, maraş tarhanası ve aşure yapımında kullanılan değlipte dövülmüş;dövülmüş ve aşure maraş pilav yapımında kullanılan tarhanası değlipte;aşure değlipte dövülmüş kullanılan maraş pilav tarhanası yapımında;aşure değlipte dövülmüş kullanılan maraş pilav tarhanası yapımında;aşure değlip dövül kullanılan maraş pilav tarhana yapım
Döl;Oğul.;oğul;oğul;oğul;oğul
Duak;Duvak;duvak;duvak;duvak;duvak
Dud;Dut;dut;dut;dut;dut
Dulad;Rüzgarın ulaşmadığı yer;ulaşmadığı rüzgarın yer;rüzgarın ulaşmadığı yer;rüzgarın ulaşmadığı yer;rüzgar ulaşmadık yer
Duluk;Bir şeyin yan tarafı. Daha çok binaların yan tarafı ve insan yanakları için;binaların ve tarafı daha için şeyin çok insan yan yanakları bir tarafı;binaların bir insan tarafı yan yanakları şeyin;binaların bir insan tarafı yan yanakları şeyin;bina bir insan taraf yan yanak şey
Dunukuyor;Dökülüyor;dökülüyor;dökülüyor;dökülüyor;dökülüyor
Dutmaç;Bir yemek türü,hamurdan yapılır;türü hamurdan bir yapılır yemek;bir hamurdan türü yapılır yemek;bir hamurdan türü yapılır yemek;bir hamur tür yapılır yemek
Düneklik;Kümes;kümes;kümes;kümes;kümes
Dürcü;Dünürcü;dünürcü;dünürcü;dünürcü;dünürç
Düşek;Tarla payı;payı tarla;payı tarla;payı tarla;pay tarla
Düve;Doğurmamış dişi sığır.;dişi sığır doğurmamış;dişi doğurmamış sığır;dişi doğurmamış sığır;diş doğur sığır
Düvecek;Sarımsak döven tokmak;döven sarımsak tokmak;döven sarımsak tokmak;döven sarımsak tokmak;döven sar tokmak
E;İyi;i̇yi;i̇yi;i̇yi;i̇yi
Ebelik;Ot;ot;ot;ot;ot
Ebire;Be adam;be adam;adam;adam;ada
Ede;Erkek kardeş, abi.;abi erkek kardeş;abi erkek kardeş;abi erkek kardeş;abi erkek kardeş
Eğrelti;Meşe ağacı;ağacı meşe;ağacı meşe;ağacı meşe;ağaç meş
Ehliyel;Aile bireylerinin toplamı;bireylerinin aile toplamı;aile bireylerinin toplamı;aile bireylerinin toplamı;ail birey topla
Ehliz;Ehil.;ehil;ehil;ehil;ehil
Ehmet;Ahmet;ahmet;ahmet;ahmet;ahmet
Ekseri;Genellikle.;genellikle;genellikle;genellikle;genellik
Elbir;Elçi, işbirlikçi.;elçi işbirlikçi;elçi işbirlikçi;elçi işbirlikçi;elç işbirlikç
Elefetsiz;Manasız.;manasız;manasız;manasız;manas
Eletmek;Ulaştırmak;ulaştırmak;ulaştırmak;ulaştırmak;ulaştırmak
Ellehem;Herhalde;herhalde;herhalde;herhalde;herhalde
Ellengeç;Yengeç;yengeç;yengeç;yengeç;yengeç
Ellik;Ekin biçerken parmaklara takılan tahta koruyucular.;ekin parmaklara tahta koruyucular takılan biçerken;biçerken ekin koruyucular parmaklara tahta takılan;biçerken ekin koruyucular parmaklara tahta takılan;biçer ek koruyuç parmak tah takılan
Elllehem;Sanki, herhalde;sanki herhalde;herhalde;herhalde;herhalde
Emenmek;Utanmak.;utanmak;utanmak;utanmak;utanmak
Emilik;Yeni doğmuş keçi yavrusu Bizim iki emiliğimiz oldu.;oldu iki bizim yavrusu doğmuş keçi yeni emiliğimiz;bizim doğmuş emiliğimiz iki keçi oldu yavrusu yeni;bizim doğmuş emiliğimiz iki keçi oldu yavrusu yeni;biz dok emilik ik keç olt yavru yen
Emmi;Amca;amca;amca;amca;am
Encik;Köpek yavrusu.;yavrusu köpek;köpek yavrusu;köpek yavrusu;köpek yavru
Enis;Aşağı doğru meyilli;meyilli aşağı doğru;aşağı doğru meyilli;aşağı doğru meyilli;aşak doğr meyil
Eniş;Rampa;rampa;rampa;rampa;ramp
Erlik Gavırı;Ermeni;ermeni;ermeni;ermeni;ermen
Eses;Esans;esans;esans;esans;esans
Esga;Ateşli odun.;odun ateşli;ateşli odun;ateşli odun;ateş odun
Essah mı;Sahi mi;sahi mi;mi sahi;mi sahi;mi sahi
Eşep;Eşarp;eşarp;eşarp;eşarp;eşarp
Eşgere;Apaçık.;apaçık;apaçık;apaçık;apaçık
Et keseri;Başka yerlerde  satır diye  adlandırılan  ve et kesmede kullanılan alet.;ve alet yerlerde başka kullanılan adlandırılan et satır kesmede diye;adlandırılan alet başka et kesmede kullanılan satır yerlerde;adlandırılan alet başka et kesmede kullanılan satır yerlerde;adlandırılan alet başka et kesme kullanılan sa yer
Evlek;Tarlaya hat çekilmesi.;çekilmesi hat tarlaya;hat tarlaya çekilmesi;hat tarlaya çekilmesi;hat tarla çekilme
Evseme;Savurarak eleme işi;işi savurarak eleme;eleme işi savurarak;eleme işi savurarak;elem iş savurarak
Evsin;Bir yerde bekleyerek avların buluduğu yere gelmesini isteyen avcıların içinde;yerde gelmesini bekleyerek avcıların içinde buluduğu avların yere bir isteyen;avcıların avların bekleyerek bir buluduğu gelmesini isteyen içinde yerde yere;avcıların avların bekleyerek bir buluduğu gelmesini isteyen içinde yerde yere;avcı avlar bekleyerek bir buluduk gelme isteyen iç yer
Fak;Tuzak;tuzak;tuzak;tuzak;tuzak
Fakı;Hoca;hoca;hoca;hoca;hoç
Fallik;Yaramaz, ahlaksız.;ahlaksız yaramaz;ahlaksız yaramaz;ahlaksız yaramaz;ahlaks yaramaz
Fanilye;Kazak;kazak;kazak;kazak;kazak
Farsak;Kirli;kirli;kirli;kirli;kirl
Fas;İçi boş;boş i̇çi;boş i̇çi;boş i̇çi;boş i̇çi
Fasari;Boş iş;boş iş;boş iş;boş iş;boş iş
Fedik;Haşlanmış buğday;buğday haşlanmış;buğday haşlanmış;buğday haşlanmış;buğday haşlan
Fel fel;Tir tir.;tir tir;tir;tir;tir
Felan;Tarlanın tohum ekilmeden önce sürülmesi;sürülmesi tarlanın önce tohum ekilmeden;ekilmeden sürülmesi tarlanın tohum önce;ekilmeden sürülmesi tarlanın tohum önce;ekilme sürülme tarla toh önç
Fıldırmak;Fırlatmak;fırlatmak;fırlatmak;fırlatmak;fırlatmak
Fırıştak;Topaç;topaç;topaç;topaç;topaç
Filtik Filtik;Parça parça.;parça parça;parça;parça;parça
Firez;Kurumuş ekin kökü;ekin kurumuş kökü;ekin kurumuş kökü;ekin kurumuş kökü;ek kuru kök
Firik;Olgunlaşmamış olan;olgunlaşmamış olan;olan olgunlaşmamış;olan olgunlaşmamış;olan olgunlaş
Fistan;Kadın elbisesi;kadın elbisesi;elbisesi kadın;elbisesi kadın;elbise kat
Fol;Tavuğun altına konan yumurta;tavuğun altına konan yumurta;altına konan tavuğun yumurta;altına konan tavuğun yumurta;alt konan tavuk yumur
Gabir;Kabir.;kabir;kabir;kabir;kabir
Gaçamak;Mısır unundan yapılan bir tür yemek;tür mısır unundan yapılan bir yemek;bir mısır tür unundan yapılan yemek;bir mısır tür unundan yapılan yemek;bir mısır tür unun yapılan yemek
Gada;Sıkınta, Tasa;tasa sıkınta;sıkınta tasa;sıkınta tasa;sık tas
Gallep;Güvercin;güvercin;güvercin;güvercin;güverç
Gallep;Güvercin Çocuklar gallep avına gitti.;avına çocuklar güvercin gitti gallep;avına gallep gitti güvercin çocuklar;avına gallep gitti güvercin çocuklar;avın gallep git güverç çocuk
Galli;Sincap;sincap;sincap;sincap;sincap
Gallin;Pipo;pipo;pipo;pipo;pipo
Galtak;Kötü, yaramaz kadın;kadın kötü yaramaz;kadın kötü yaramaz;kadın kötü yaramaz;kat kötü yaramaz
Gamga;Ağaç kabuğu;kabuğu ağaç;ağaç kabuğu;ağaç kabuğu;ağaç kabuk
Gampık;Ağaç kabuğu;kabuğu ağaç;ağaç kabuğu;ağaç kabuğu;ağaç kabuk
Gancık;Dişi köpek.;dişi köpek;dişi köpek;dişi köpek;diş köpek
Gapgacak;Mutfak eşyası;eşyası mutfak;eşyası mutfak;eşyası mutfak;eşya mutfak
Gapıt;Pardüsü.;pardüsü;pardüsü;pardüsü;pardü
Gaplık;Raf;raf;raf;raf;raf
Garaa;Ağacın dalını eğmeye yarayan çatal;çatal yarayan eğmeye dalını ağacın;ağacın dalını eğmeye yarayan çatal;ağacın dalını eğmeye yarayan çatal;ağaç dal eğme yarayan çatal
Garaböcük;Domuz;domuz;domuz;domuz;dom
Garangaz;Yaşlı ağaç;yaşlı ağaç;ağaç yaşlı;ağaç yaşlı;ağaç yaşl
Garanışmak;Havanın kararması;kararması havanın;havanın kararması;havanın kararması;hava kararma
Garı;Yaşlı;yaşlı;yaşlı;yaşlı;yaşl
Gasbalık;Kapı;kapı;kapı;kapı;kap
Gasıl;Hayvanlara yeşil ot olarak yedirmek için ekilen arpanın başak çıkarmamış;ot hayvanlara yedirmek arpanın yeşil başak için olarak çıkarmamış ekilen;arpanın başak ekilen hayvanlara olarak ot yedirmek yeşil çıkarmamış;arpanın başak ekilen hayvanlara olarak ot yedirmek yeşil çıkarmamış;arpa başak ekilen hayvan olarak ot yedirmek yeşil çıkar
Gasıl;Otundan yararlanmak için ekilmiş arpa;yararlanmak arpa ekilmiş için otundan;arpa ekilmiş otundan yararlanmak;arpa ekilmiş otundan yararlanmak;arp ekil otun yararlanmak
Gaspalık;Bahçe kapısı;bahçe kapısı;bahçe kapısı;bahçe kapısı;bahçe kapı
Gaşşak;Sık;sık;sık;sık;sık
Gavut;Yalan;yalan;yalan;yalan;yalan
Gaygana;Tavada, sahanda yumurta. Yemek yoktu, misafirlere gaygana yaptım.;tavada yemek gaygana misafirlere yaptım sahanda yumurta yoktu;gaygana misafirlere sahanda tavada yaptım yemek yoktu yumurta;gaygana misafirlere sahanda tavada yaptım yemek yoktu yumurta;gaygan misafir sahan tava yapt yemek yokt yumur
Gazzık;Kazık;kazık;kazık;kazık;kazık
Geçek;Yol;yol;yol;yol;yol
